94,27
34,93
15,22
14,0
55,69
30,46
35,46
19,95
17,23
10,76
44,52
81,98
92,28
68,72
67,12
44,7
53,37
54,82
77,57
63,16
13,98
3,92
46,27
17,71
66,74
80,42
74,25
73,19
30,56
78,20
91,99
64,89
11,24
57,76
33,55
73,13
47,34
39,71
9,5
59,23
3,42
74,4
57,30
25,26
77,39
68,71
36,50
32,90
39,54
34,77
51,41
66,71
91,58
98,71
93,29
12,4
13,97
32,64
37,72
50,52
25,6
71,13
60,35
45,23
0,22
21,24
27,25
12,33
76,62
6,70
77,17
20,91
12,60
2,86
90,20
15,37
32,13
9,49
62,36
23,38
23,49
3,0
48,43
84,4
2,98
43,70
10,20
36,54
6,10
45,9
14,24
30,83
8,38
65,38
15,14
40,69
34,72
97,81
33,47
87,81
39,69
85,47
28,26
57,50
50,67
56,63
19,73
10,62
12,34
11,83
36,11
15,71
71,83
48,50
68,25
7,80
89,22
9,99
48,20
58,81
30,96
50,19
73,73
44,33
65,21
81,51
70,16
70,18
92,52
96,96
31,65
37,10
38,75
39,6
15,69
72,85
59,51
69,87
89,100
100,61
70,6
76,8
91,80
94,38
79,54
7,17
11,86
82,12
10,64
45,7
76,78
83,71
37,97
90,71
31,32
92,4
88,39
73,26
13,53
11,96
88,93
76,22
13,67
60,60
91,76
58,37
80,66
30,84
66,75
72,13
17,24
58,35
37,21
13,82
59,65
36,63
68,73
22,34
35,6
77,6
59,39
43,74
19,97
34,1
35,82
7,38
16,3
48,51
71,78
21,90
97,43
55,68
66,78
60,97
82,45
50,27
75,16
86,9
90,12
49,73
22,96
73,50
22,46
15,32
12,85
68,32
61,42
10,7
1,1
21,19
43,30
4,48
50,36
90,61
10,48
91,35
49,11
7,94
61,11
35,49
48,29
30,87
7,24
55,76
50,33
38,93
35,68
34,27
45,94
82,8
96,28
68,95
0,58
75,23
14,86
98,17
84,62
70,33
62,68
8,81
10,58
65,49
69,79
38,37
30,16
88,55
64,26
39,50
15,97
3,40
9,92
100,83
77,79
77,51
2,82
19,16
76,30
49,70
39,100
3,93
30,14
12,9
34,82
61,91
12,76
24,80
29,55
99,76
26,85
28,39
47,73
92,58
83,26
98,86
13,45
7,31
51,28
27,27
13,96
58,8
45,31
80,40
12,54
100,39
72,66
84,8
13,66
0,27
74,99
23,58
67,51
44,53
89,67
33,74
15,20
25,62
69,77
72,77
82,94
57,92
90,11
64,73
12,78
3,96
58,36
13,35
76,25
42,39
47,100
51,79
67,100
95,98
82,77
41,27
90,91
100,69
56,62
39,34
13,61
80,99
30,60
47,2
65,40
89,3
10,14
75,31
47,82
52,52
0,26
58,97
67,71
15,0
78,58
10,85
84,41
3,24
52,83
3,94
30,41
89,42
49,62
45,28
1,76
8,83
53,74
61,58
26,58
18,43
98,54
100,53
99,11
34,73
18,89
80,93
45,57
91,37
78,92
95,6
85,63
66,20
3,57
52,21
16,63
29,44
80,50
96,19
76,79
56,55
86,5
6,75
25,89
32,44
58,87
74,13
58,72
15,25
75,53
12,52
63,84
18,44
8,12
4,44
21,23
92,73
55,47
62,34
99,55
58,40
19,11
63,75
22,55
63,47
41,82
99,74
49,2
55,39
16,82
83,97
78,99
3,45
